Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Coached,Not Flagged,9096-6C69,05-May-15,Category 3,226,Unsafe Braking,6021,171
Not In Queue,Not Flagged,9096-6C57,05-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9204,1354
Coached,Not Flagged,9096-6C4Z,05-May-15,Category 4,452,"Not Scanning Intersection, Unsafe Braking",9007,1830
Not In Queue,Not Flagged,9096-6C36,05-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10020,1982
Not In Queue,Not Flagged,9096-6C35,05-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7083,1702
Coached,Flagged,9096-6C27,05-May-15,Category 4,275,Unattended Moving Vehicle,11208,1273
Coached,Not Flagged,9096-6C19,04-May-15,Category 3,226,Unsafe Braking,11209,1461
Not In Queue,Not Flagged,9096-6C04,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14207,258
Not In Queue,Not Flagged,9096-6C00,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),106,2123
Coached,Not Flagged,9096-6BZY,04-May-15,Category 4,421,"Incomplete Stop at Stop Sign, Paperwork",7044,1696
Not In Queue,Not Flagged,9096-6BZV,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11206,742
Not In Queue,Not Flagged,9096-6BXF,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9937,625
Not In Queue,Not Flagged,9096-6BT5,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),8101,1631
Not In Queue,Not Flagged,9096-6BT4,04-May-15,Category 2,195,Incomplete Stop at Light,10061,469
Not In Queue,Not Flagged,9096-6BRF,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11027,275
Not In Queue,Not Flagged,9096-6BRC,04-May-15,Category 4,275,Unsafe Railroad Crossing,14203,2123
Not In Queue,Not Flagged,9096-6BR1,04-May-15,Category 2,195,Incomplete Stop at Stop Sign,9054,1617
Not In Queue,Not Flagged,9096-6BQW,04-May-15,Category 2,195,Incomplete Stop at Light,9989,941
Coached,Not Flagged,9096-6BQF,04-May-15,Category 4,275,Failure to Attempt to Stop at Light,7059,1631
Coached,Not Flagged,9096-6BPZ,04-May-15,Category 3,226,Lane Departure/Straddling Lanes,6024,2204
Not In Queue,Not Flagged,9096-6BPK,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6024,2204
Not In Queue,Not Flagged,9096-6BP5,04-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6006,811
Coached,Not Flagged,9096-6BP4,04-May-15,Category 4,275,Excessive Speeding (> 10 mph Over Limit),10010,950
Coached,Not Flagged,9096-6BP2,04-May-15,Category 3,226,Not Scanning Road Ahead,8252,174
Coached,Not Flagged,9096-6BNZ,04-May-15,Category 3,244,"Incomplete Stop at Stop Sign, Moderate Speeding (<= 10 mph Over Limit)",10059,120
Not In Queue,Not Flagged,9096-6BNB,24-Apr-15,Category 2,195,Incomplete Stop at Light,12007,897
Not In Queue,Not Flagged,9096-6BJY,02-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12048,1854
Not In Queue,Not Flagged,9096-6BJS,02-May-15,Category 2,195,Incomplete Stop at Stop Sign,9006,1705
Not In Queue,Not Flagged,9096-6BHZ,02-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10060,215
Not In Queue,Not Flagged,9096-6BHT,02-May-15,Category 2,195,Incomplete Stop at Stop Sign,10004,2188
Not In Queue,Not Flagged,9096-6BHS,02-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12217,1279
Coached,Not Flagged,9096-6BHH,02-May-15,Category 4,275,Excessive Speeding (> 10 mph Over Limit),148,1514
Coached,Not Flagged,9096-6BHC,02-May-15,Category 3,226,Unsafe Following (1.25 - 2 seconds),128,2047
Not In Queue,Not Flagged,9096-6BGW,02-May-15,Category 2,195,Incomplete Stop at Stop Sign,9002,1468
Not In Queue,Not Flagged,9096-6BGR,02-May-15,Category 2,195,Incomplete Stop at Stop Sign,138,2123
Not In Queue,Not Flagged,9096-6BEW,01-May-15,Category 2,195,Incomplete Stop at Stop Sign,11019,517
Not In Queue,Not Flagged,9096-6BEN,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12001,119
Coached,Not Flagged,9096-6BDP,01-May-15,Category 4,275,"Moderate Speeding (<= 10 mph Over Limit), Unsafe Braking",9204,1461
Not In Queue,Not Flagged,9096-6BCF,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7001,103
Not In Queue,Not Flagged,9096-6BCA,01-May-15,Category 2,195,Incomplete Stop at Light,9038,889
Not In Queue,Not Flagged,9096-6BBM,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13044,1705
Coached,Not Flagged,9096-6BBB,01-May-15,Category 4,275,Exceeded Maximum Fleet Speed,5065,1719
Not In Queue,Not Flagged,9096-6BB0,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6027,1449
Not In Queue,Not Flagged,9096-6BAZ,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9992,1642
Not In Queue,Not Flagged,9096-6BAV,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9987,692
Coached,Not Flagged,9096-6BAN,01-May-15,Category 3,226,Unsafe Braking,115,1843
Not In Queue,Not Flagged,9096-6BAB,01-May-15,Category 2,195,Incomplete Stop at Stop Sign,11018,2045
Not In Queue,Not Flagged,9096-6B9V,01-May-15,Category 2,195,Incomplete Stop at Stop Sign,12218,1232
Not In Queue,Not Flagged,9096-6B9S,01-May-15,Category 2,195,Incomplete Stop at Stop Sign,12218,1232
Not In Queue,Not Flagged,9096-6B9F,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11004,2134
Not In Queue,Not Flagged,9096-6B7R,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11230,1840
Not In Queue,Not Flagged,9096-6B7P,01-May-15,Category 2,195,Incomplete Stop at Stop Sign,7011,1234
Not In Queue,Not Flagged,9096-6B6C,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14229,1029
Not In Queue,Not Flagged,9096-6B6B,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),253,1761
Not In Queue,Not Flagged,9096-6B51,24-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,9990,1642
Not In Queue,Not Flagged,9096-6B49,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6019,811
Not In Queue,Not Flagged,9096-6B40,01-May-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9012,1629
Coached,Not Flagged,9096-6B3G,01-May-15,Category 4,275,Exceeded Maximum Fleet Speed,5053,528
Not In Queue,Not Flagged,9096-6B15,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),119,979
Not In Queue,Not Flagged,9096-6B0X,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13038,2123
Not In Queue,Not Flagged,9096-6AYY,30-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,11018,666
Not In Queue,Not Flagged,9096-6AY3,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),124,663
Not In Queue,Not Flagged,9096-6AXG,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10065,1504
Not In Queue,Not Flagged,9096-6AWQ,30-Apr-15,Category 2,195,Incomplete Stop at Light,13042,2159
Not In Queue,Not Flagged,9096-6AWE,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13004,1237
Not In Queue,Not Flagged,9096-6AW9,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),5010,1393
Not In Queue,Not Flagged,9096-6AVT,30-Apr-15,Category 2,195,Incomplete Stop at Light,5010,1393
Not In Queue,Not Flagged,9096-6AVA,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11206,742
Not In Queue,Not Flagged,9096-6AV9,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12014,1246
Not In Queue,Not Flagged,9096-6ATX,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14208,885
Not In Queue,Not Flagged,9096-6ATV,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14208,885
Coached,Not Flagged,9096-6ASM,30-Apr-15,Category 4,275,Failure to Attempt to Stop at Light,7042,354
Not In Queue,Not Flagged,9096-6ARG,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14210,1760
Not In Queue,Not Flagged,9096-6AR7,30-Apr-15,Category 2,195,Incomplete Stop at Light,10061,469
Not In Queue,Not Flagged,9096-6AR1,30-Apr-15,Category 2,195,Incomplete Stop at Light,10018,1856
Not In Queue,Not Flagged,9096-6AQY,30-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7042,354
Coached,Not Flagged,9096-6AQS,30-Apr-15,Category 3,226,Unsafe Braking,252,2267
Not In Queue,Not Flagged,9096-6AQA,30-Apr-15,Category 2,195,Incomplete Stop at Light,7009,234
Not In Queue,Not Flagged,9096-6AMV,30-Apr-15,Category 2,195,Incomplete Stop at Light,253,1761
Not In Queue,Not Flagged,9096-6AMM,30-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,7001,2123
Not In Queue,Not Flagged,9096-6AJE,29-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,13036,2085
Coached,Flagged,9096-6AGP,29-Apr-15,Category 4,550,"Exceeded Maximum Fleet Speed, Excessive Speeding (> 10 mph Over Limit)",201,470
Not In Queue,Not Flagged,9096-6AEG,29-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14226,1073
Not In Queue,Not Flagged,9096-6ADW,29-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9035,889
Coached,Not Flagged,9096-6ADV,29-Apr-15,Category 3,226,Unsafe Lane Change/Merging/Passing,14210,1760
Coached,Not Flagged,9096-6AB3,29-Apr-15,Category 4,275,"Moderate Speeding (<= 10 mph Over Limit), Unsafe Following (1.25 - 2 seconds)",14212,1693
Not In Queue,Not Flagged,9096-6A9Y,29-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14215,1774
Not In Queue,Not Flagged,9096-6A9S,29-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7024,2234
Not In Queue,Not Flagged,9096-6A98,29-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7052,1631
Not In Queue,Not Flagged,9096-6A88,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10065,1269
Not In Queue,Not Flagged,9096-6A86,29-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,9207,1354
Not In Queue,Not Flagged,9096-6A82,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10065,1269
Not In Queue,Not Flagged,9096-6A7S,29-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),138,950
Not In Queue,Not Flagged,9096-6A7H,29-Apr-15,Category 4,275,Excessive Speeding (> 10 mph Over Limit),14203,2123
Not In Queue,Not Flagged,9096-6A70,29-Apr-15,Category 2,195,Incomplete Stop at Light,12204,1822
Coached,Not Flagged,9096-6A6V,29-Apr-15,Category 4,275,Exceeded Maximum Fleet Speed,11209,101
Not In Queue,Not Flagged,9096-6A36,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14208,1322
Coached,Not Flagged,9096-6A2N,28-Apr-15,Category 4,452,"Not Scanning Road Ahead, Unsafe Braking",10017,2127
Not In Queue,Not Flagged,9096-6A1Q,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6101,1502
Not In Queue,Not Flagged,9096-6A1M,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6101,1502
Not In Queue,Not Flagged,9096-6A13,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13051,1834
Not In Queue,Not Flagged,9096-6A0X,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6107,1770
Coached,Not Flagged,9096-6A0G,28-Apr-15,Category 4,275,Exceeded Maximum Fleet Speed,8252,935
Not In Queue,Not Flagged,9096-6A09,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),5019,1795
Not In Queue,Not Flagged,9096-6A02,28-Apr-15,Category 2,195,"Incomplete Stop at Stop Sign, Yawning",14205,1508
Not In Queue,Not Flagged,9096-6A00,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6101,1502
Not In Queue,Not Flagged,9096-69ZA,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9989,206
Not In Queue,Not Flagged,9096-69Z5,28-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,6107,349
Not In Queue,Not Flagged,9096-69Z0,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6107,349
Not In Queue,Not Flagged,9096-69YP,28-Apr-15,Category 2,190,Unsafe Turning,14210,1760
Not In Queue,Not Flagged,9096-69Y0,28-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,11028,517
Not In Queue,Not Flagged,9096-69X4,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11022,1787
Not In Queue,Not Flagged,9096-69WD,28-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,12220,1782
Not In Queue,Not Flagged,9096-69W4,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13040,354
Not In Queue,Not Flagged,9096-69W3,28-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9011,2160
Coached,Not Flagged,9096-69VA,28-Apr-15,Category 3,226,Unsafe Braking,6021,336
Coached,Not Flagged,9096-69V4,28-Apr-15,Category 3,226,Unsafe Braking,6021,336
Coached,Flagged,9096-69V2,28-Apr-15,Category 4,421,"Incomplete Stop at Stop Sign, Unsafe Braking",6021,336
Not In Queue,Not Flagged,9096-69TZ,28-Apr-15,Category 4,452,"Not Scanning Road Ahead, Unsafe Braking",12005,1761
Not In Queue,Not Flagged,9096-69TC,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,9991,1160
Coached,Not Flagged,9096-69T5,28-Apr-15,Category 4,465,"Driver Seatbelt Unfastened (>20 mph), Exceeded Maximum Fleet Speed",5066,1587
Coached,Not Flagged,9096-69SQ,28-Apr-15,Category 3,200,Curb Check/Jumped Curb,146,1759
Not In Queue,Not Flagged,9096-69SF,28-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,6106,1191
Not In Queue,Not Flagged,9096-69MR,27-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,6105,663
Not In Queue,Not Flagged,9096-69MH,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),132,1658
Not In Queue,Not Flagged,9096-69MB,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6105,663
Not In Queue,Not Flagged,9096-69M4,27-Apr-15,Category 2,195,Incomplete Stop at Light,6110,64
Not In Queue,Not Flagged,9096-69KM,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12220,1279
Not In Queue,Not Flagged,9096-69K2,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6105,663
Coached,Not Flagged,9096-69JM,27-Apr-15,Category 4,275,Excessive Speeding (> 10 mph Over Limit),6110,64
Not In Queue,Not Flagged,9096-69JG,27-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,9991,503
Coached,Not Flagged,9096-69J6,27-Apr-15,Category 3,226,Unsafe Braking,9009,538
Not In Queue,Not Flagged,9096-69HV,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9967,1585
Coached,Not Flagged,9096-69H7,27-Apr-15,Category 4,275,"Moderate Speeding (<= 10 mph Over Limit), Paperwork",6105,663
Not In Queue,Not Flagged,9096-69H5,27-Apr-15,Category 2,195,Incomplete Stop at Light,6110,64
Coached,Not Flagged,9096-69GZ,27-Apr-15,Category 4,421,"Incomplete Stop at Stop Sign, Paperwork",6105,663
Not In Queue,Not Flagged,9096-69G6,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10036,1548
Not In Queue,Not Flagged,9096-69G4,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6105,663
Coached,Not Flagged,9096-69FD,27-Apr-15,Category 2,195,Incomplete Stop at Light,7051,1848
Not In Queue,Not Flagged,9096-69F5,27-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,7030,1048
Not In Queue,Not Flagged,9096-69F1,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7045,2164
Not In Queue,Not Flagged,9096-69E3,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9021,2190
Coached,Not Flagged,9096-69DM,27-Apr-15,Category 3,200,Curb Check/Jumped Curb,12010,222
Coached,Not Flagged,9096-69CQ,27-Apr-15,Category 3,274,"Driving with Two Hands off Wheel, Other Task",7029,1514
Not In Queue,Not Flagged,9096-69CN,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7011,1769
Coached,Not Flagged,9096-69C1,27-Apr-15,Category 3,244,"Incomplete Stop at Stop Sign, Moderate Speeding (<= 10 mph Over Limit)",7018,2234
Not In Queue,Not Flagged,9096-69BZ,27-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,9205,1354
Not In Queue,Not Flagged,9096-69B9,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11022,1441
Coached,Not Flagged,9096-69AH,27-Apr-15,Category 3,226,Unsafe Lane Change/Merging/Passing,14228,933
Not In Queue,Not Flagged,9096-69AA,27-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12043,1960
Not In Queue,Not Flagged,9096-694Q,25-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,12220,2153
Not In Queue,Not Flagged,9096-694N,25-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10052,1641
Not In Queue,Not Flagged,9096-693S,25-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10070,1269
Not In Queue,Not Flagged,9096-693E,25-Apr-15,Category 2,195,Incomplete Stop at Light,141,983
Not In Queue,Not Flagged,9096-693A,25-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7033,1928
Not In Queue,Not Flagged,9096-68VG,24-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11206,1655
Coached,Not Flagged,9096-68VD,24-Apr-15,Category 4,275,Failure to Attempt to Stop at Light,9213,1369
Coached,Not Flagged,9096-68V1,24-Apr-15,Category 4,452,"Not Scanning Road Ahead, Unsafe Braking",10034,1077
Not In Queue,Not Flagged,9096-68T2,24-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,9021,551
Coached,Not Flagged,9096-68SS,24-Apr-15,Category 4,550,"Exceeded Maximum Fleet Speed, Excessive Speeding (> 10 mph Over Limit)",5068,1719
Not In Queue,Not Flagged,9096-68SN,24-Apr-15,Category 2,195,Incomplete Stop at Light,9962,898
Not In Queue,Not Flagged,9096-68S3,24-Apr-15,Category 2,190,Unsafe Turning,9092,941
Coached,Not Flagged,9096-68Q3,24-Apr-15,Category 3,226,Not Scanning Road Ahead,10070,1347
Coached,Not Flagged,9096-68MG,24-Apr-15,Category 3,226,Unsafe Braking,6021,2172
Coached,Not Flagged,9096-68MF,24-Apr-15,Category 3,226,Unsafe Braking,6021,2172
Coached,Not Flagged,9096-68MD,24-Apr-15,Category 3,226,Unsafe Braking,6021,2172
Not In Queue,Not Flagged,9096-68K4,24-Apr-15,Category 2,195,"Incomplete Stop at Light, Yawning",11030,2267
Not In Queue,Not Flagged,9096-68K3,24-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10004,91
Not In Queue,Not Flagged,9096-68JY,24-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7042,354
Coached,Flagged,9096-68JK,24-Apr-15,Category 3,226,Unsafe Braking,12021,625
Coached,Not Flagged,9096-68GY,24-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11005,1062
Coached,Not Flagged,9096-68GS,24-Apr-15,Category 3,244,"Incomplete Stop at Stop Sign, Moderate Speeding (<= 10 mph Over Limit)",9987,1164
Not In Queue,Not Flagged,9096-68GB,24-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12216,2276
Coached,Flagged,9096-68FZ,24-Apr-15,Category 3,226,"Near Collision with Vehicle in Transport, Unsafe Braking",10056,776
Coached,Not Flagged,9096-68FX,24-Apr-15,Category 3,244,"Incomplete Stop at Stop Sign, Moderate Speeding (<= 10 mph Over Limit)",7034,2277
Not In Queue,Not Flagged,9096-6895,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,6023,2123
Not In Queue,Not Flagged,9096-688H,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7009,410
Not In Queue,Not Flagged,9096-688A,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10033,625
Not In Queue,Not Flagged,9096-6880,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9960,929
Not In Queue,Not Flagged,9096-687P,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9025,979
Not In Queue,Not Flagged,9096-6876,23-Apr-15,Category 2,195,"Incomplete Stop at Stop Sign, Non-Performing Camera",11016,517
Coached,Flagged,9096-6872,23-Apr-15,Category 4,275,Failure to Attempt to Stop at Light,4003,336
Coached,Not Flagged,9096-686T,23-Apr-15,Category 3,226,Lane Departure/Straddling Lanes,14228,473
Not In Queue,Not Flagged,9096-686N,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),139,861
Not In Queue,Not Flagged,9096-686J,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,9968,1494
Not In Queue,Not Flagged,9096-6862,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9025,979
Not In Queue,Not Flagged,9096-6860,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),4003,2123
Coached,Not Flagged,9096-685V,23-Apr-15,Category 4,275,Excessive Speeding (> 10 mph Over Limit),9207,1774
Not In Queue,Not Flagged,9096-685H,23-Apr-15,Category 2,195,Incomplete Stop at Light,9040,914
Not In Queue,Not Flagged,9096-684X,22-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,10064,1235
Not In Queue,Not Flagged,9096-683Y,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14009,2252
Not In Queue,Not Flagged,9096-683M,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11027,198
Not In Queue,Not Flagged,9096-6838,23-Apr-15,Category 2,195,Incomplete Stop at Light,10061,469
Not In Queue,Not Flagged,9096-6834,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,6101,498
Not In Queue,Not Flagged,9096-682V,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,6021,87
Not In Queue,Not Flagged,9096-682C,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13038,1367
Not In Queue,Not Flagged,9096-681Z,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,7023,355
Not In Queue,Not Flagged,9096-680C,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,10070,2123
Not In Queue,Not Flagged,9096-6805,23-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,5053,825
Not In Queue,Not Flagged,9096-67ZX,23-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10062,1892
Not In Queue,Not Flagged,9096-67YH,23-Apr-15,Category 2,195,Incomplete Stop at Light,252,1761
Not In Queue,Not Flagged,9096-67XV,23-Apr-15,Category 2,195,Incomplete Stop at Light,13006,2123
Not In Queue,Not Flagged,9096-67RE,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14224,933
Not In Queue,Not Flagged,9096-67R3,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9017,1426
Not In Queue,Not Flagged,9096-67QA,22-Apr-15,Category 2,195,Incomplete Stop at Light,144,2136
Not In Queue,Not Flagged,9096-67PZ,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6001,1756
Not In Queue,Not Flagged,9096-67P0,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10065,1269
Not In Queue,Not Flagged,9096-67NZ,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11220,2123
Not In Queue,Not Flagged,9096-67NN,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9211,1279
Coached,Not Flagged,9096-67NC,22-Apr-15,Category 4,275,Excessive Speeding (> 10 mph Over Limit),14006,130
Coached,Not Flagged,9096-67MF,22-Apr-15,Category 3,226,Unsafe Lane Change/Merging/Passing,14212,1693
Not In Queue,Not Flagged,9096-67M8,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7042,1432
Coached,Not Flagged,9096-67KZ,22-Apr-15,Category 4,421,"Incomplete Stop at Stop Sign, Unsafe Braking",6021,487
Not In Queue,Not Flagged,9096-67KP,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11018,198
Not In Queue,Not Flagged,9096-67K8,22-Apr-15,Category 1,49,Unsafe Following (3.25 - 4 seconds),9031,877
Coached,Not Flagged,9096-67K3,22-Apr-15,Category 4,275,Excessive Speeding (> 10 mph Over Limit),14212,1693
Not In Queue,Not Flagged,9096-67K1,22-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7016,1795
Coached,Flagged,9096-67JW,22-Apr-15,Category 4,275,Unsafe Railroad Crossing,6023,1811
Coached,Not Flagged,9096-67JG,22-Apr-15,Category 3,226,Unsafe Lane Change/Merging/Passing,14220,933
Coached,Not Flagged,9096-67J7,22-Apr-15,Category 3,226,Not Scanning Road Ahead,14207,2217
Not In Queue,Not Flagged,9096-67BH,21-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10064,889
Not In Queue,Not Flagged,9096-67AN,21-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14013,1386
Coached,Not Flagged,9096-679K,21-Apr-15,Category 3,226,Unsafe Lane Change/Merging/Passing,14224,933
Not In Queue,Not Flagged,9096-677M,21-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13001,1871
Not In Queue,Not Flagged,9096-6778,18-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14012,2064
Not In Queue,Not Flagged,9096-6774,18-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14012,2064
Not In Queue,Not Flagged,9096-6771,18-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,14012,2064
Not In Queue,Not Flagged,9096-676W,21-Apr-15,Category 2,195,Incomplete Stop at Light,9011,466
Not In Queue,Not Flagged,9096-675M,17-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14218,1464
Coached,Not Flagged,9096-674W,21-Apr-15,Category 3,226,Unsafe Braking,14223,543
Not In Queue,Not Flagged,9096-674R,21-Apr-15,Category 2,195,Incomplete Stop at Stop Sign,11020,666
Not In Queue,Not Flagged,9096-674F,21-Apr-15,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14212,1693
