Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Coached,Not Flagged,9096-RHH5,28-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),11018,1176
Not In Queue,Not Flagged,9096-RHFR,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13005,782
,Not Flagged,9096-RHFD,28-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),12024,898
Not In Queue,Not Flagged,9096-RHE9,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12005,300
Not In Queue,Not Flagged,9096-RHDF,28-Mar-17,Category 2,195,Incomplete Stop at Light,7004,1705
Not In Queue,Not Flagged,9096-RHD0,28-Mar-17,Category 2,195,Incomplete Stop at Light,7008,2123
Not In Queue,Not Flagged,9096-RHC6,28-Mar-17,Category 2,195,Incomplete Stop at Light,10068,139
Not In Queue,Not Flagged,9096-RHAD,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9038,226
Not In Queue,Not Flagged,9096-RH9A,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),8110,176
Not In Queue,Not Flagged,9096-RH94,28-Mar-17,Category 2,195,Incomplete Stop at Light,13002,1494
Not In Queue,Not Flagged,9096-RH7N,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,10062,2123
Coached,Not Flagged,9096-RH6R,28-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),13052,181
Not In Queue,Not Flagged,9096-RH5K,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,15217,1782
Not In Queue,Not Flagged,9096-RH5G,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7059,1047
Not In Queue,Not Flagged,9096-RH3X,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10058,2229
Not In Queue,Not Flagged,9096-RH31,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,15223,1273
Not In Queue,Not Flagged,9096-RH2Q,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,13044,2159
Not In Queue,Not Flagged,9096-RH2N,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7011,843
Not In Queue,Not Flagged,9096-RH2D,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,7001,697
Not In Queue,Not Flagged,9096-RH0R,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6016,1305
Not In Queue,Not Flagged,9096-RH02,28-Mar-17,Category 2,195,Incomplete Stop at Light,9959,2223
Not In Queue,Not Flagged,9096-RGYP,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9940,782
Not In Queue,Not Flagged,9096-RGTQ,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6110,59
Not In Queue,Not Flagged,9096-RGTJ,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6110,59
